sensor_id,device_id,timestamp,reading_type,reading_value,unit
sensor_0046,device_001,2025-10-28T03:58:13.936688,vibration,36.05,dBm
sensor_0176,device_006,2025-10-31T01:59:13.936702,battery,42.9,Hz
sensor_0160,device_002,2025-10-27T06:39:13.936717,error_type,24.24,dBm
sensor_0119,device_001,2025-10-30T00:08:13.936731,humidity,26.31,g
sensor_0169,device_004,2025-10-30T21:24:13.936744,signal,101.61,g
sensor_0160,device_006,2025-10-26T03:13:13.936758,error_type,117.61,%
sensor_0130,device_002,2025-10-30T16:49:13.936771,battery,25.09,
sensor_0194,device_009,2025-10-30T17:50:13.936784,vibration,110.55,Hz
sensor_0068,,2025-10-26T05:56:13.936798,signal,-26.41,g
sensor_0042,device_001,2025-10-27T19:42:13.936812,error_type,144.05,
sensor_0135,device_001,2025-10-30T22:25:13.936826,battery,55.91,%
sensor_0005,device_007,2025-10-28T15:47:13.936840,battery,74.68,Hz
sensor_0080,device_009,2025-10-30T10:03:13.936854,temperature,10.95,C
sensor_0114,device_003,2025-10-26T18:20:13.936866,humidity,80.81,dBm
sensor_0129,device_005,2025-10-30T16:47:13.936880,humidity,137.29,
sensor_0037,,2025-10-30T12:01:13.936894,temperature,124.53,Hz
sensor_0150,device_003,2025-10-26T13:38:13.936908,battery,15.5,
sensor_0005,device_006,2025-10-30T11:36:13.936921,temperature,106.04,%
sensor_0064,device_009,2025-10-26T03:24:13.936935,battery,-20.74,dBm
sensor_0032,device_007,2025-10-24T23:04:13.936948,error_type,98.52,%
sensor_0134,device_003,2025-10-25T03:47:13.936963,battery,73.93,C
sensor_0136,device_010,2025-10-30T01:07:13.936977,temperature,134.94,dBm
sensor_0143,device_010,2025-10-29T06:13:13.936991,temperature,8.17,
sensor_0044,device_005,2025-10-29T13:44:13.937006,vibration,144.56,g
sensor_0119,device_008,2025-10-31T06:53:13.937019,humidity,2.76,C
sensor_0105,device_007,2025-10-25T13:30:13.937033,vibration,95.5,dBm
sensor_0107,device_005,2025-10-30T15:13:13.937048,vibration,90.26,C
sensor_0194,device_009,2025-10-30T08:47:13.937061,humidity,-7.45,dBm
sensor_0073,device_001,2025-10-27T07:13:13.937074,humidity,-20.44,
sensor_0188,,2025-10-26T23:01:13.937088,signal,-16.89,
sensor_0159,,2025-10-28T20:33:13.937101,temperature,-19.09,g
sensor_0179,device_008,2025-10-31T04:42:13.937115,error_type,2.68,%
sensor_0185,,2025-10-26T19:36:13.937129,vibration,78.17,
sensor_0142,device_005,2025-10-26T10:58:13.937142,temperature,37.1,%
sensor_0163,device_001,2025-10-29T07:04:13.937156,error_type,-32.31,
sensor_0093,device_006,2025-10-29T02:16:13.937190,error_type,44.78,Hz
sensor_0055,device_003,2025-10-28T00:05:13.937205,signal,12.8,
sensor_0108,device_004,2025-10-27T16:22:13.937218,temperature,88.32,
sensor_0017,,2025-10-25T08:35:13.937232,humidity,137.92,g
sensor_0154,device_010,2025-10-29T06:01:13.937246,humidity,103.47,
sensor_0090,device_002,2025-10-24T19:48:13.937259,humidity,-27.23,dBm
sensor_0136,device_004,2025-10-30T05:16:13.937272,signal,-23.78,g
sensor_0016,device_004,2025-10-25T15:50:13.937287,temperature,-45.71,dBm
sensor_0195,device_006,2025-10-30T05:33:13.937300,temperature,80.26,Hz
sensor_0058,,2025-10-25T00:28:13.937314,humidity,107.48,C
sensor_0171,,2025-10-29T16:39:13.937328,signal,35.13,g
sensor_0087,device_010,2025-10-29T18:04:13.937341,battery,10.59,C
sensor_0019,,2025-10-29T16:06:13.937356,temperature,81.53,C
sensor_0137,device_003,2025-10-27T08:44:13.937370,error_type,145.24,
sensor_0043,,2025-10-28T12:53:13.937383,signal,143.89,dBm
sensor_0115,device_010,2025-10-28T00:16:13.937396,battery,123.19,C
sensor_0193,device_003,2025-10-27T19:11:13.937409,vibration,11.0,
sensor_0165,device_009,2025-10-26T03:21:13.937423,temperature,122.92,g
sensor_0068,,2025-10-25T21:31:13.937436,humidity,N/A,g
sensor_0199,,2025-10-29T13:42:13.937450,temperature,102.77,%
sensor_0048,device_004,2025-10-27T09:01:13.937463,battery,54.29,%
sensor_0175,,2025-10-24T19:29:13.937477,temperature,147.38,Hz
sensor_0109,device_010,2025-10-30T00:41:13.937502,error_type,6.45,
sensor_0124,,2025-10-29T12:01:13.937517,vibration,-49.68,g
sensor_0047,device_005,2025-10-30T18:26:13.937530,temperature,126.38,
sensor_0062,device_006,2025-13-40,temperature,-17.98,Hz
sensor_0064,device_010,2025-10-29T08:57:13.937555,humidity,34.77,g
sensor_0004,device_002,2025-10-30T05:35:13.937569,battery,42.66,C
sensor_0009,device_003,2025-10-26T06:24:13.937582,temperature,-46.69,Hz
sensor_0157,device_004,2025-10-26T09:34:13.937595,battery,73.85,
sensor_0044,device_005,2025-10-27T04:41:13.937608,battery,-16.05,
sensor_0194,device_009,2025-10-28T12:14:13.937622,battery,98.61,%
sensor_0065,device_009,invalid,signal,-39.51,
sensor_0101,device_001,2025-10-29T06:52:13.937647,humidity,24.24,Hz
sensor_0180,device_004,2025-10-26T01:40:13.937659,battery,23.29,
sensor_0054,device_001,2025-10-28T22:17:13.937673,vibration,-26.11,
sensor_0159,device_007,2025-10-26T16:46:13.937687,temperature,-11.05,
sensor_0036,device_001,2025-10-28T01:10:13.937700,humidity,124.47,C
sensor_0017,device_010,2025-10-28T05:52:13.937714,vibration,,Hz
sensor_0069,device_002,2025-10-30T04:03:13.937729,battery,102.52,g
sensor_0179,device_005,2025-10-27T18:08:13.937744,signal,-30.14,
sensor_0150,device_004,2025-10-26T17:52:13.937762,temperature,43.96,g
sensor_0195,device_001,2025-10-27T00:14:13.937776,temperature,-30.42,
sensor_0118,,2025-10-25T11:31:13.937789,vibration,47.17,Hz
sensor_0174,device_001,2025-10-30T18:44:13.937802,battery,90.71,Hz
sensor_0019,device_005,2025-10-30T00:21:13.937817,humidity,16.63,Hz
sensor_0078,,2025-10-25T00:35:13.937830,temperature,0.88,
sensor_0146,device_010,2025-10-24T20:37:13.937844,error_type,52.7,dBm
sensor_0032,device_010,2025-10-25T18:40:13.937858,battery,-1.74,g
sensor_0128,device_009,2025-10-28T00:19:13.937871,signal,112.9,g
sensor_0097,,invalid,vibration,73.57,%
sensor_0055,device_010,2025-10-28T06:44:13.937899,humidity,99.22,C
sensor_0143,device_002,2025-10-28T23:06:13.937912,humidity,94.02,g
sensor_0196,device_001,2025-10-26T10:58:13.937926,humidity,-35.51,g
sensor_0039,device_007,2025-10-29T20:19:13.937939,temperature,132.13,
sensor_0046,,2025-10-30T00:15:13.937952,battery,44.65,Hz
sensor_0013,device_007,2025-10-31T07:35:13.937967,error_type,8.75,g
sensor_0062,device_009,2025-10-29T15:27:13.937981,temperature,-4.94,dBm
sensor_0099,device_001,2025-10-25T05:34:13.937995,signal,22.27,
sensor_0012,,2025-10-24T16:33:13.938009,temperature,93.54,g
sensor_0174,device_001,2025-10-27T01:54:13.938023,battery,-40.03,
sensor_0123,device_001,2025-10-28T19:45:13.938037,temperature,36.53,
sensor_0137,device_008,2025-10-24T15:02:13.938050,battery,136.15,g
sensor_0061,device_008,2025-10-27T02:41:13.938065,vibration,12.61,
sensor_0049,device_005,2025-10-27T06:22:13.938079,signal,-38.99,C
sensor_0105,device_005,2025-10-29T15:08:13.938093,temperature,16.54,
sensor_0019,,2025-10-30T06:19:13.938106,vibration,123.43,
sensor_0023,device_007,2025-10-24T21:28:13.938119,humidity,85.14,
sensor_0120,device_008,2025-10-27T18:32:13.938133,error_type,142.9,g
sensor_0047,device_007,2025-10-25T07:11:13.938147,signal,27.53,
sensor_0036,device_007,2025-10-30T12:02:13.938161,humidity,12.54,C
sensor_0030,,2025-10-29T00:17:13.938173,vibration,10.38,
sensor_0150,,2025-10-26T04:04:13.938189,temperature,17.58,Hz
sensor_0155,device_002,2025-10-28T10:34:13.938210,signal,105.78,dBm
sensor_0138,device_010,2025-10-31T06:05:13.938223,error_type,-16.87,g
sensor_0015,device_004,2025-10-29T22:56:13.938239,signal,error,%
sensor_0060,,2025-10-25T14:14:13.938253,vibration,-38.37,
sensor_0067,device_002,2025-10-28T17:19:13.938267,battery,95.88,g
sensor_0097,device_007,2025-10-29T02:00:13.938280,humidity,73.4,
sensor_0153,device_001,2025-10-25T17:01:13.938293,humidity,78.71,dBm
sensor_0125,device_006,2025-10-27T22:19:13.938306,battery,-50.0,
sensor_0074,device_002,2025-10-30T11:51:13.938320,signal,9.11,dBm
sensor_0004,device_008,2025-10-29T02:57:13.938333,signal,7.11,g
sensor_0029,,2025-10-27T15:28:13.938347,error_type,11.62,Hz
sensor_0128,,2025-10-30T19:17:13.938361,temperature,29.38,g
sensor_0123,device_009,2025-10-25T20:09:13.938375,vibration,118.55,g
sensor_0165,device_007,2025-10-29T03:17:13.938389,vibration,109.16,%
sensor_0110,device_007,2025-10-25T00:52:13.938403,error_type,-41.56,
sensor_0086,device_004,2025-10-26T15:54:13.938416,error_type,133.18,
sensor_0015,device_007,2025-10-29T23:32:13.938430,signal,9.37,Hz
sensor_0144,,2025-10-24T16:21:13.938444,signal,96.37,%
sensor_0128,device_010,2025-10-26T22:02:13.938458,temperature,55.39,
sensor_0008,device_004,2025-10-25T11:32:13.938471,humidity,113.34,dBm
sensor_0168,device_008,2025-10-25T02:23:13.938484,vibration,40.61,dBm
sensor_0100,device_010,2025-10-28T11:28:13.938499,vibration,25.22,%
sensor_0030,,2025-10-30T19:53:13.938512,error_type,148.57,C
sensor_0190,,2025-10-25T13:57:13.938527,humidity,-36.2,
sensor_0198,device_002,2025-10-28T02:30:13.938541,temperature,92.66,Hz
sensor_0170,device_002,2025-10-29T20:43:13.938554,battery,87.01,C
sensor_0016,device_008,2025-10-25T12:08:13.938568,vibration,-31.48,%
sensor_0097,device_004,2025-10-25T03:20:13.938583,battery,-25.44,g
sensor_0180,device_005,2025-10-26T01:39:13.938597,vibration,138.02,g
sensor_0119,device_009,2025-10-29T02:07:13.938611,temperature,14.36,%
sensor_0083,device_003,2025-10-28T07:45:13.938624,error_type,25.28,
sensor_0168,device_008,2025-10-29T21:48:13.938638,humidity,65.72,
sensor_0183,device_009,2025-10-30T03:32:13.938658,error_type,-17.32,C
sensor_0106,,2025-10-29T14:53:13.938673,signal,29.88,Hz
sensor_0009,device_010,2025-10-26T19:35:13.938687,temperature,107.88,
sensor_0033,device_001,2025-10-26T09:17:13.938702,temperature,62.78,%
sensor_0139,device_010,,error_type,18.27,g
sensor_0069,device_006,2025-10-27T09:08:13.938728,battery,-45.98,
sensor_0170,device_003,2025-10-26T05:56:13.938742,error_type,15.09,
sensor_0101,device_010,2025-10-24T18:31:13.938757,vibration,60.11,
sensor_0156,device_008,2025-10-30T07:28:13.938770,error_type,47.34,dBm
sensor_0097,device_003,2025-10-29T05:28:13.938783,temperature,91.2,
sensor_0187,device_006,2025-10-26T17:14:13.938797,error_type,116.85,C
sensor_0050,device_007,2025-10-29T15:36:13.938810,humidity,107.57,
sensor_0029,device_003,2025-10-29T20:26:13.938825,temperature,-48.8,
sensor_0179,device_007,2025-10-28T01:23:13.938838,battery,70.98,
sensor_0068,device_007,2025-10-26T06:06:13.938851,error_type,,
sensor_0016,device_002,2025-10-26T01:25:13.938866,temperature,-39.22,C
sensor_0004,device_003,2025-10-30T23:39:13.938880,error_type,131.6,g
sensor_0067,device_006,2025-10-26T09:10:13.938893,humidity,128.22,%
sensor_0005,device_005,2025-10-29T13:50:13.938907,error_type,38.61,
sensor_0017,device_001,2025-10-25T01:14:13.938920,signal,25.69,
sensor_0135,device_002,2025-10-25T14:46:13.938933,battery,-7.54,C
sensor_0164,device_005,2025-10-26T20:35:13.938947,humidity,-28.77,
sensor_0062,device_005,2025-10-24T15:15:13.938960,humidity,21.76,%
sensor_0028,device_005,2025-10-24T10:52:13.938975,vibration,73.05,
sensor_0068,device_003,2025-10-26T03:41:13.938988,battery,129.89,Hz
sensor_0026,device_001,2025-10-29T21:58:13.939001,battery,122.93,dBm
sensor_0129,device_010,2025-10-30T14:31:13.939015,battery,-36.83,
sensor_0099,device_005,2025-10-30T20:45:13.939029,temperature,90.27,
sensor_0005,device_007,2025-10-27T08:53:13.939042,vibration,17.6,Hz
sensor_0101,device_003,2025-10-27T22:50:13.939056,vibration,25.88,%
sensor_0143,device_005,2025-10-25T19:18:13.939069,vibration,-17.94,Hz
sensor_0008,device_001,2025-10-27T23:39:13.939083,humidity,42.91,Hz
sensor_0062,device_008,2025-10-25T06:44:13.939100,battery,100.46,g
sensor_0191,device_008,2025-10-26T20:06:13.939113,humidity,-26.1,C
sensor_0117,device_002,2025-10-26T10:47:13.939127,temperature,103.47,Hz
sensor_0005,device_010,2025-10-29T15:18:13.939140,temperature,-30.7,
sensor_0069,device_005,2025-10-26T14:39:13.939155,battery,-25.32,Hz
sensor_0066,device_001,2025-10-28T02:38:13.939168,battery,85.63,
sensor_0058,device_008,2025-10-25T16:55:13.939181,temperature,error,dBm
sensor_0137,device_009,2025-10-31T03:40:13.939196,signal,43.18,dBm
sensor_0142,device_001,2025-10-25T14:11:13.939209,signal,-4.96,%
sensor_0131,device_006,2025-10-30T00:06:13.939223,vibration,-31.06,%
sensor_0038,device_002,2025-10-24T15:05:13.939238,error_type,-25.18,Hz
sensor_0186,device_010,2025-10-28T21:45:13.939255,temperature,,
sensor_0045,device_005,2025-10-29T00:41:13.939270,humidity,37.19,
sensor_0050,device_004,2025-10-29T11:07:13.939284,battery,unknown,
sensor_0179,device_010,2025-10-30T21:17:13.939298,temperature,9.2,C
sensor_0047,device_004,2025-10-30T13:17:13.939311,temperature,18.74,g
sensor_0055,device_006,2025-10-25T06:07:13.939325,battery,132.0,Hz
sensor_0180,device_004,2025-10-26T04:23:13.939340,battery,24.37,%
sensor_0030,device_001,2025-10-29T14:48:13.939353,error_type,-4.03,dBm
sensor_0029,,2025-10-25T16:31:13.939367,battery,,dBm
sensor_0143,device_001,2025-10-24T20:16:13.939380,humidity,-20.65,Hz
sensor_0143,device_008,2025-10-26T22:29:13.939393,temperature,111.34,
sensor_0103,device_001,2025-10-27T04:54:13.939407,error_type,146.17,%
sensor_0086,device_006,2025-10-27T06:44:13.939421,battery,98.55,dBm
sensor_0121,,2025-10-29T06:42:13.939434,battery,16.53,
sensor_0123,,2025-10-27T05:47:13.939448,temperature,-35.96,
sensor_0071,,2025-10-25T09:47:13.939461,error_type,105.52,%
sensor_0002,device_005,2025-10-25T19:18:13.939474,humidity,-26.24,C
sensor_0089,device_002,2025-10-26T16:20:13.939487,error_type,36.42,Hz
sensor_0069,device_009,2025-10-26T17:19:13.939501,error_type,95.9,
sensor_0116,device_002,2025-10-27T18:33:13.939514,battery,114.4,
sensor_0166,device_009,2025-10-30T23:30:13.939527,humidity,9.47,C
sensor_0176,device_009,2025-10-27T12:22:13.939541,vibration,10.14,Hz
sensor_0025,device_004,2025-10-29T07:51:13.939554,temperature,32.29,Hz
sensor_0143,device_006,2025-10-28T07:56:13.939567,temperature,117.8,
sensor_0180,,2025-10-24T21:52:13.939581,humidity,60.63,Hz
sensor_0163,device_009,2025-10-25T12:32:13.939595,signal,-2.15,dBm
sensor_0006,device_004,2025-10-24T10:55:13.939608,error_type,91.2,C
sensor_0042,device_008,2025-10-26T16:45:13.939621,temperature,-21.43,dBm
sensor_0075,device_008,2025-10-28T09:50:13.939635,error_type,122.94,dBm
sensor_0089,device_001,2025-10-29T21:16:13.939648,battery,106.83,Hz
sensor_0040,device_008,2025-10-26T15:24:13.939661,vibration,36.37,dBm
sensor_0179,device_010,2025-10-28T19:56:13.939675,signal,32.88,
sensor_0132,,2025-10-27T09:40:13.939688,error_type,-0.9,%
sensor_0017,device_005,2025-10-26T06:46:13.939702,signal,143.13,dBm
sensor_0182,,2025-10-27T03:42:13.939716,temperature,144.56,C
sensor_0074,device_009,,error_type,120.18,g
sensor_0054,device_006,2025-10-25T00:49:13.939740,error_type,-36.14,dBm
sensor_0090,device_007,2025-10-29T08:34:13.939754,temperature,143.24,
sensor_0037,device_004,2025-10-28T10:17:13.939768,temperature,128.69,dBm
sensor_0003,device_006,2025-10-27T02:27:13.939780,vibration,100.37,Hz
sensor_0002,device_005,2025-10-27T08:55:13.939794,vibration,11.67,dBm
sensor_0122,,2025-10-24T11:00:13.939808,signal,75.68,
sensor_0107,device_007,2025-10-27T18:28:13.939822,signal,116.2,
sensor_0119,device_006,2025-10-26T17:52:13.939835,temperature,12.92,Hz
sensor_0064,device_009,2025-10-25T16:47:13.939851,temperature,137.39,Hz
sensor_0164,device_008,2025-10-29T19:42:13.939864,signal,110.17,dBm
sensor_0024,device_007,2025-10-28T03:36:13.939879,humidity,101.48,Hz
sensor_0010,device_003,,temperature,-49.67,g
sensor_0190,,2025-10-26T18:18:13.939904,error_type,20.4,
sensor_0014,device_005,2025-10-30T16:03:13.939918,humidity,,dBm
sensor_0110,device_010,2025-10-29T12:11:13.939931,signal,24.25,g
sensor_0200,device_007,2025-10-29T20:19:13.939944,signal,-19.87,C
sensor_0042,device_009,2025-10-25T07:36:13.939957,error_type,54.45,
sensor_0165,,2025-10-29T12:21:13.939971,vibration,43.56,
sensor_0084,,2025-10-24T14:15:13.939984,vibration,51.14,
sensor_0045,device_007,2025-10-24T13:32:13.939997,battery,67.87,Hz
sensor_0114,,2025-10-25T12:17:13.940012,temperature,77.02,
sensor_0155,device_002,2025-10-27T23:59:13.940026,temperature,83.44,Hz
sensor_0131,device_008,2025-10-29T09:12:13.940039,temperature,80.18,
sensor_0051,,2025-10-25T12:28:13.940056,temperature,113.59,%
sensor_0115,,2025-10-30T18:14:13.940070,error_type,111.57,
sensor_0145,device_007,invalid,signal,110.51,Hz
sensor_0130,,2025-10-31T00:52:13.940095,temperature,117.57,dBm
sensor_0180,device_003,2025-10-27T11:26:13.940108,signal,75.21,Hz
sensor_0092,device_007,2025-10-27T13:32:13.940121,error_type,0.59,g
sensor_0041,device_006,2025-10-27T21:10:13.940134,error_type,44.96,C
sensor_0097,device_004,2025-10-30T10:03:13.940147,humidity,91.92,C
sensor_0200,device_005,2025-10-28T18:51:13.940160,error_type,10.5,%
sensor_0159,,2025-10-26T04:56:13.940173,humidity,-15.47,
sensor_0167,device_008,2025-10-28T20:18:13.940187,signal,29.27,%
sensor_0050,device_001,2025-10-30T18:01:13.940201,error_type,-3.7,
sensor_0167,device_002,2025-10-24T21:17:13.940214,signal,unknown,
sensor_0094,device_001,2025-10-25T23:35:13.940228,battery,83.2,Hz
sensor_0106,,2025-10-31T06:57:13.940242,vibration,107.45,C
sensor_0030,device_005,2025-10-25T14:50:13.940255,humidity,98.74,dBm
sensor_0093,device_010,2025-10-28T16:25:13.940268,humidity,-22.31,Hz
