device_id,timestamp,temperature_c,battery_pct,humidity_pct,signal_dbm,raw
device_008,2025-10-21T14:38:13.738348,30.08,92.24,17.34,-82.9,sensor glitch
device_003,2025-10-21T14:46:13.738348,31.9,,27.0,-33.55,sensor glitch
device_001,2025-10-21T14:48:13.738348,35.93,error,66.72,-74.1,
device_002,2025-10-21T14:49:13.738348,29.72,69.38,31.5,-81.97,out of range
,2025-10-21T14:50:13.738348,41.57,90.06,81.6,-85.2,out of range
device_010,2025-10-21T14:58:13.738348,14.59,92.96,79.49,-126.75,manual override
,2025-10-21T15:03:13.738348,49.31,21.3,80.66,-129.28,
device_007,2025-10-21T15:07:13.738348,16.32,27.39,61.11,-128.85,sensor glitch
device_005,2025-10-21T15:19:13.738348,41.09,73.88,22.7,-98.9,CRC error
,2025-10-21T15:34:13.738348,22.21,65.14,21.87,-96.94,CRC error
device_002,2025-10-21T15:49:13.738348,25.41,87.57,30.49,-53.37,sensor glitch
,2025-10-21T16:01:13.738348,18.1,44.39,25.31,-113.16,manual override
,2025-10-21T16:07:13.738348,error,51.3,41.05,-43.29,sensor glitch
device_003,2025-10-21T16:16:13.738348,31.53,23.33,78.76,-44.52,sensor glitch
device_005,2025-10-21T16:30:13.738348,22.3,18.93,73.25,-68.6,CRC error
device_003,2025-10-21T16:33:13.738348,31.76,92.26,24.03,-115.35,
device_006,2025-10-21T16:48:13.738348,44.05,,21.13,-49.35,manual override
unknown_device,2025-10-21T16:51:13.738348,30.04,17.55,30.24,-73.65,out of range
device_010,2025-10-21T16:59:13.738348,23.02,33.5,74.42,-119.82,sensor glitch
device_007,2025-10-21T17:08:13.738348,14.94,22.02,28.78,-63.64,CRC error
unknown_device,2025-10-21T17:23:13.738348,30.36,57.87,42.14,-58.25,sensor glitch
device_002,2025-10-21T17:28:13.738348,42.45,7.92,80.72,-113.06,
device_007,2025-10-21T17:37:13.738348,26.64,27.43,93.42,-61.0,
unknown_device,2025-10-21T17:42:13.738348,32.68,36.46,40.39,-78.53,manual override
device_001,2025-10-21T17:44:13.738348,36.97,3.81,51.04,-64.41,out of range
device_007,2025-10-21T17:46:13.738348,21.35,28.85,88.26,-81.44,sensor glitch
device_001,2025-10-21T18:01:13.738348,39.21,31.39,16.62,-82.93,sensor glitch
device_001,2025-10-21T18:11:13.738348,23.91,80.45,86.42,-105.37,manual override
device_008,2025-10-21T18:16:13.738348,28.52,17.35,56.24,-85.37,
device_008,2025-10-21T18:26:13.738348,49.92,52.74,83.11,-84.84,manual override
device_009,,29.92,86.94,81.61,error,out of range
device_006,2025-10-21T18:46:13.738348,41.25,79.19,13.94,-54.2,CRC error
device_004,2025-10-21T18:52:13.738348,35.07,28.22,25.65,-82.79,out of range
device_010,2025-10-21T18:55:13.738348,38.65,27.67,25.75,-79.75,CRC error
device_003,2025-10-21T19:08:13.738348,26.76,-0.95,38.35,-50.66,out of range
,2025-10-21T19:18:13.738348,26.43,,33.03,-99.89,manual override
device_004,2025-10-21T19:24:13.738348,33.05,N/A,76.33,-96.66,CRC error
device_003,2025-10-21T19:28:13.738348,31.64,77.62,14.7,-119.61,out of range
,2025-10-21T19:38:13.738348,46.09,37.03,17.7,-44.17,out of range
device_004,2025-10-21T19:47:13.738348,17.32,22.16,67.06,-111.94,manual override
device_001,2025-10-21T19:52:13.738348,25.03,23.22,87.55,-74.12,
device_002,2025-10-21T20:02:13.738348,32.41,28.62,63.55,-59.93,
device_006,2025-10-21T20:17:13.738348,unknown,50.81,31.69,-51.79,manual override
device_001,2025-10-21T20:19:13.738348,19.18,92.08,32.98,-69.83,CRC error
device_010,2025-10-21T20:28:13.738348,42.12,40.95,42.02,-50.53,sensor glitch
device_001,2025-10-21T20:30:13.738348,32.97,84.2,88.92,N/A,CRC error
device_002,invalid,36.18,59.11,13.96,,
device_006,2025-10-21T20:38:13.738348,28.89,65.55,78.7,-122.13,sensor glitch
device_004,2025-10-21T20:50:13.738348,41.16,47.83,47.57,-54.82,out of range
device_010,2025-13-40,43.01,39.6,88.86,-55.59,CRC error
device_001,2025-10-21T20:59:13.738348,25.1,21.85,79.32,-99.77,CRC error
device_004,2025-10-21T21:02:13.738348,27.23,90.49,46.32,-77.91,
device_002,2025-10-21T21:16:13.738348,13.94,68.08,unknown,-49.84,
device_008,2025-10-21T21:17:13.738348,36.76,25.57,30.4,-51.03,sensor glitch
device_002,2025-10-21T21:28:13.738348,22.64,15.0,89.9,-64.46,manual override
device_008,2025-10-21T21:39:13.738348,22.48,86.62,33.94,-88.31,CRC error
device_007,2025-10-21T21:41:13.738348,41.12,13.34,38.99,-69.19,out of range
device_009,2025-10-21T21:46:13.738348,41.33,60.71,44.29,-41.51,sensor glitch
device_004,2025-10-21T21:47:13.738348,9.99,43.6,89.98,-79.55,
unknown_device,,27.88,89.26,15.43,-93.76,manual override
device_003,2025-10-21T22:08:13.738348,20.84,90.55,47.76,-109.26,out of range
device_005,2025-10-21T22:14:13.738348,unknown,33.67,34.19,-108.47,sensor glitch
device_008,invalid,24.73,23.46,,-99.05,
device_002,2025-10-21T22:29:13.738348,34.62,18.01,92.82,-94.41,CRC error
,2025-10-21T22:43:13.738348,32.02,1.91,error,N/A,manual override
device_003,2025-10-21T22:51:13.738348,18.31,81.29,83.98,-30.91,sensor glitch
device_002,,39.84,N/A,59.54,-96.8,sensor glitch
device_004,2025-10-21T23:07:13.738348,28.18,47.55,61.96,-126.88,manual override
device_010,2025-10-21T23:18:13.738348,34.66,49.55,36.91,-70.55,manual override
device_006,2025-10-21T23:33:13.738348,,32.45,12.81,-53.43,manual override
unknown_device,2025-10-21T23:48:13.738348,30.39,35.14,95.86,-90.66,CRC error
device_002,2025-10-22T00:02:13.738348,20.02,10.9,89.18,-70.74,out of range
device_006,2025-10-22T00:05:13.738348,18.93,20.76,10.43,-103.46,manual override
device_008,2025-10-22T00:15:13.738348,42.22,81.63,39.4,error,CRC error
unknown_device,2025-10-22T00:18:13.738348,40.12,38.69,30.66,-77.85,manual override
,2025-10-22T00:27:13.738348,35.98,39.87,44.39,-69.01,out of range
device_004,2025-10-22T00:30:13.738348,27.71,,30.84,-56.77,
device_006,2025-10-22T00:42:13.738348,43.16,54.18,83.95,-86.07,CRC error
,2025-10-22T00:51:13.738348,21.35,89.53,87.35,-29.45,CRC error
device_001,2025-10-22T00:54:13.738348,21.1,61.13,100.74,-113.04,
device_007,2025-10-22T01:02:13.738348,36.86,10.42,11.19,-48.09,manual override
device_004,2025-10-22T01:13:13.738348,27.82,93.5,47.52,-71.34,sensor glitch
device_002,2025-10-22T01:22:13.738348,30.18,32.63,64.84,-64.71,sensor glitch
device_003,2025-10-22T01:24:13.738348,35.45,71.78,36.84,-52.3,manual override
unknown_device,2025-10-22T01:36:13.738348,34.94,38.3,12.15,-89.74,
device_003,2025-10-22T01:45:13.738348,27.83,15.75,37.58,-81.14,out of range
device_005,2025-10-22T01:58:13.738348,10.37,81.53,69.57,-132.45,sensor glitch
device_001,2025-10-22T02:02:13.738348,9.78,7.52,N/A,-36.14,CRC error
device_006,2025-10-22T02:13:13.738348,15.46,,65.82,-80.13,sensor glitch
device_004,2025-10-22T02:27:13.738348,22.81,37.08,70.94,-103.3,CRC error
device_001,2025-10-22T02:32:13.738348,29.31,84.91,73.25,-43.31,
,2025-10-22T02:44:13.738348,40.36,63.95,14.31,-59.52,out of range
device_006,2025-10-22T02:57:13.738348,26.21,19.73,20.45,-53.19,CRC error
device_009,2025-10-22T03:12:13.738348,27.91,9.53,81.88,-51.25,manual override
unknown_device,2025-10-22T03:16:13.738348,27.97,97.13,64.95,-37.64,
,2025-10-22T03:30:13.738348,28.35,105.29,61.12,-128.37,CRC error
device_001,2025-10-22T03:44:13.738348,41.32,unknown,34.48,-61.54,
device_001,2025-10-22T03:56:13.738348,27.46,42.54,63.39,-5.68,
device_004,2025-10-22T04:01:13.738348,36.9,100.76,14.27,-52.8,manual override
device_001,2025-10-22T04:14:13.738348,19.88,20.69,54.66,-92.41,CRC error
device_004,2025-10-22T04:29:13.738348,20.21,6.91,75.06,-57.09,manual override
device_008,2025-10-22T04:43:13.738348,20.9,40.68,83.48,-64.21,
device_010,2025-10-22T04:50:13.738348,25.37,79.86,66.85,-88.7,manual override
device_008,2025-10-22T04:54:13.738348,35.91,79.54,47.07,-97.03,out of range
device_010,2025-10-22T05:06:13.738348,48.17,88.11,19.77,-64.93,CRC error
device_006,2025-10-22T05:11:13.738348,38.63,62.39,94.45,-35.26,sensor glitch
unknown_device,2025-10-22T05:13:13.738348,35.66,97.14,102.78,-20.69,
device_004,2025-10-22T05:26:13.738348,34.8,77.61,70.74,-86.08,
device_010,2025-10-22T05:35:13.738348,30.75,,89.25,-113.74,out of range
device_002,2025-10-22T05:44:13.738348,22.72,22.26,31.94,-68.9,
device_008,2025-10-22T05:47:13.738348,30.45,56.29,58.05,-118.57,sensor glitch
,2025-10-22T06:01:13.738348,23.27,95.92,94.1,-111.15,
device_009,2025-10-22T06:12:13.738348,31.59,23.72,19.07,-67.9,CRC error
unknown_device,2025-10-22T06:15:13.738348,38.04,15.8,22.61,-35.13,manual override
device_005,,38.87,55.76,67.06,-64.11,
device_007,2025-10-22T06:38:13.738348,30.79,32.62,93.78,-96.5,manual override
device_008,2025-10-22T06:49:13.738348,,49.53,72.74,unknown,manual override
device_007,2025-10-22T07:01:13.738348,22.93,42.52,33.73,-49.97,out of range
,2025-10-22T07:02:13.738348,23.95,30.11,error,-60.83,CRC error
device_010,2025-10-22T07:10:13.738348,44.46,42.76,87.88,-112.43,manual override
device_008,2025-10-22T07:23:13.738348,25.62,20.39,61.97,-100.89,sensor glitch
device_002,2025-10-22T07:28:13.738348,35.91,100.91,23.45,-88.96,sensor glitch
device_006,2025-10-22T07:36:13.738348,29.87,25.98,29.37,-75.79,
device_002,2025-10-22T07:37:13.738348,27.43,23.69,36.75,-71.51,
,2025-10-22T07:47:13.738348,43.54,69.82,87.59,-87.81,CRC error
,2025-10-22T07:53:13.738348,30.16,72.43,26.19,-126.79,manual override
device_003,2025-10-22T07:58:13.738348,34.4,86.27,67.88,-100.76,sensor glitch
device_002,2025-10-22T08:10:13.738348,24.02,93.17,99.14,-56.68,manual override
device_005,2025-10-22T08:11:13.738348,20.59,50.17,90.09,-77.55,manual override
,2025-10-22T08:17:13.738348,36.67,53.48,35.12,-68.43,manual override
device_009,2025-10-22T08:22:13.738348,14.37,36.75,46.8,-91.71,
device_002,,32.21,25.29,15.85,-116.8,
,2025-10-22T08:31:13.738348,35.87,42.76,33.3,N/A,out of range
device_010,2025-10-22T08:40:13.738348,,24.0,33.5,-35.16,CRC error
,2025-10-22T08:41:13.738348,33.5,44.78,79.35,-38.87,sensor glitch
device_003,2025-10-22T08:47:13.738348,unknown,57.65,43.25,-150.48,CRC error
device_005,2025-10-22T08:56:13.738348,45.74,65.69,101.29,-45.58,out of range
device_009,2025-10-22T08:57:13.738348,28.91,73.68,39.07,-75.82,
device_003,2025-10-22T09:11:13.738348,37.19,36.29,38.49,-50.56,CRC error
device_010,2025-10-22T09:19:13.738348,20.66,46.16,99.14,error,CRC error
,2025-10-22T09:24:13.738348,20.87,77.25,75.48,-84.22,sensor glitch
device_009,2025-10-22T09:34:13.738348,19.77,4.99,61.4,-55.13,sensor glitch
,2025-10-22T09:41:13.738348,47.83,42.08,9.6,-78.41,CRC error
device_004,2025-10-22T09:49:13.738348,22.52,42.2,N/A,-27.23,sensor glitch
device_010,2025-10-22T09:51:13.738348,29.3,5.43,80.16,-94.5,CRC error
device_004,2025-10-22T09:58:13.738348,38.5,19.53,12.95,-105.6,manual override
device_002,2025-10-22T09:59:13.738348,46.86,1.75,72.47,-94.98,CRC error
,2025-10-22T10:08:13.738348,5.39,45.45,67.42,-108.45,out of range
,2025-10-22T10:11:13.738348,34.96,81.39,85.79,-61.96,out of range
device_008,2025-10-22T10:13:13.738348,14.69,33.39,49.24,-66.17,CRC error
device_008,2025-10-22T10:18:13.738348,12.64,87.46,100.91,error,sensor glitch
unknown_device,2025-10-22T10:28:13.738348,20.45,2.96,76.96,-87.99,sensor glitch
device_005,2025-10-22T10:30:13.738348,30.27,88.59,29.87,-25.41,manual override
device_005,2025-10-22T10:35:13.738348,28.16,68.12,96.63,error,sensor glitch
device_009,2025-10-22T10:42:13.738348,33.03,18.89,62.96,-39.56,
device_003,2025-10-22T10:47:13.738348,18.34,91.28,49.48,-105.57,CRC error
device_001,2025-10-22T11:02:13.738348,32.31,91.08,error,-111.4,sensor glitch
device_005,2025-10-22T11:12:13.738348,51.41,70.95,13.57,-108.41,sensor glitch
device_001,2025-10-22T11:20:13.738348,26.86,64.9,77.09,-93.35,sensor glitch
device_007,2025-10-22T11:35:13.738348,29.15,59.15,105.05,-49.04,out of range
device_009,2025-10-22T11:39:13.738348,34.36,9.98,70.73,-53.36,
device_006,2025-13-40,39.6,36.96,38.19,-44.61,out of range
device_006,2025-10-22T11:45:13.738348,17.31,7.73,57.19,-54.14,sensor glitch
device_008,2025-10-22T11:55:13.738348,41.31,82.46,50.34,-96.05,manual override
device_004,2025-10-22T12:07:13.738348,27.94,77.05,105.82,-57.2,sensor glitch
device_006,2025-10-22T12:18:13.738348,18.36,22.11,83.22,-38.08,sensor glitch
device_010,2025-10-22T12:25:13.738348,33.31,100.82,72.7,-65.9,out of range
device_004,2025-10-22T12:27:13.738348,27.62,23.63,49.62,-48.03,manual override
device_001,2025-10-22T12:38:13.738348,38.49,68.02,23.53,-51.38,out of range
,2025-10-22T12:46:13.738348,33.78,26.79,34.12,error,sensor glitch
device_001,2025-10-22T12:51:13.738348,20.46,80.33,34.32,-101.41,sensor glitch
device_004,2025-10-22T13:04:13.738348,31.94,36.83,40.42,-81.9,sensor glitch
device_010,2025-10-22T13:12:13.738348,17.8,103.14,26.47,-40.21,CRC error
unknown_device,2025-10-22T13:21:13.738348,29.61,73.2,90.29,-84.34,CRC error
device_004,2025-10-22T13:22:13.738348,23.12,94.34,22.54,-74.19,sensor glitch
device_010,2025-10-22T13:33:13.738348,33.91,80.62,100.49,-38.07,sensor glitch
device_001,2025-10-22T13:46:13.738348,32.97,49.75,85.13,-108.99,out of range
,2025-10-22T14:00:13.738348,33.85,,52.96,-80.89,CRC error
unknown_device,2025-10-22T14:07:13.738348,45.09,27.44,64.97,-86.61,
device_007,2025-10-22T14:22:13.738348,44.84,34.18,91.4,-70.01,CRC error
device_007,2025-10-22T14:27:13.738348,39.27,80.05,54.66,-71.33,
unknown_device,,16.78,6.14,85.49,-27.8,sensor glitch
,2025-10-22T14:41:13.738348,39.6,71.11,58.51,-85.67,sensor glitch
device_008,2025-10-22T14:46:13.738348,35.41,83.79,35.56,-99.49,CRC error
device_006,2025-10-22T15:01:13.738348,14.89,60.73,68.28,-95.09,out of range
device_006,2025-10-22T15:07:13.738348,23.82,68.58,94.99,-108.92,out of range
device_006,2025-10-22T15:17:13.738348,23.28,45.41,41.53,-32.24,sensor glitch
device_006,2025-10-22T15:25:13.738348,34.63,3.4,28.12,-85.35,
unknown_device,2025-10-22T15:37:13.738348,33.58,24.71,72.26,-107.79,sensor glitch
device_003,2025-10-22T15:41:13.738348,39.58,4.22,44.51,-85.55,
device_006,2025-10-22T15:51:13.738348,15.28,30.55,N/A,-40.73,sensor glitch
device_007,2025-10-22T15:54:13.738348,38.59,77.55,50.63,-114.36,sensor glitch
unknown_device,2025-10-22T15:57:13.738348,,98.86,66.63,-37.65,CRC error
device_010,2025-10-22T16:07:13.738348,41.14,15.8,61.28,-63.05,manual override
,2025-10-22T16:16:13.738348,45.18,79.68,66.2,-70.42,manual override
device_004,2025-10-22T16:29:13.738348,20.86,27.14,30.86,-92.94,manual override
device_003,2025-10-22T16:44:13.738348,31.79,16.34,44.89,-67.14,sensor glitch
device_004,2025-10-22T16:56:13.738348,29.94,69.82,77.43,-106.26,sensor glitch
device_009,2025-10-22T17:01:13.738348,16.93,39.88,62.09,-79.64,CRC error
unknown_device,2025-10-22T17:06:13.738348,45.05,14.01,101.44,-69.22,sensor glitch
device_006,2025-10-22T17:18:13.738348,28.68,8.19,40.53,-70.9,CRC error
device_008,2025-10-22T17:32:13.738348,31.77,21.62,77.65,-103.35,sensor glitch
device_005,2025-10-22T17:41:13.738348,N/A,79.14,95.61,-71.02,sensor glitch
device_002,2025-10-22T17:56:13.738348,45.82,64.48,69.38,-87.75,manual override
unknown_device,2025-10-22T17:59:13.738348,23.35,10.3,66.99,-84.99,out of range
device_005,2025-10-22T18:02:13.738348,26.59,47.12,,-85.24,
device_008,2025-10-22T18:12:13.738348,26.01,67.03,11.08,-31.28,manual override
device_001,2025-10-22T18:18:13.738348,27.46,109.06,88.82,-57.11,
,2025-10-22T18:20:13.738348,37.37,94.65,35.9,-100.68,manual override
,2025-10-22T18:33:13.738348,39.13,39.85,22.94,-55.14,manual override
,,39.05,70.33,44.77,-61.19,CRC error
,2025-10-22T18:38:13.738348,41.68,12.58,26.19,-100.93,CRC error
,2025-10-22T18:49:13.738348,33.1,74.66,4.31,-71.72,out of range
device_009,2025-10-22T19:04:13.738348,29.51,3.61,81.97,-80.62,manual override
device_007,2025-10-22T19:08:13.738348,38.65,10.79,28.0,-83.94,sensor glitch
unknown_device,2025-10-22T19:11:13.738348,40.64,28.96,100.68,-100.18,manual override
device_003,2025-10-22T19:15:13.738348,41.06,51.06,19.38,error,
device_005,2025-10-22T19:16:13.738348,23.07,35.3,37.69,-99.78,CRC error
device_010,2025-10-22T19:20:13.738348,25.94,68.03,41.41,-93.91,sensor glitch
device_002,2025-10-22T19:31:13.738348,,-1.97,93.96,-77.37,CRC error
device_009,2025-10-22T19:45:13.738348,35.33,11.66,34.8,-105.89,CRC error
device_003,2025-10-22T19:47:13.738348,15.24,35.7,63.4,-65.32,sensor glitch
device_003,2025-10-22T20:00:13.738348,32.81,32.22,51.39,-102.9,
,2025-10-22T20:03:13.738348,20.8,64.81,80.11,-38.3,CRC error
device_010,2025-10-22T20:18:13.738348,40.29,49.22,17.61,-120.32,sensor glitch
device_001,2025-10-22T20:23:13.738348,35.67,24.34,66.4,-102.81,CRC error
,2025-10-22T20:25:13.738348,20.24,27.85,26.19,-108.5,CRC error
,2025-10-22T20:36:13.738348,40.35,47.53,41.2,-101.39,
device_006,2025-10-22T20:42:13.738348,20.1,46.08,85.8,-59.35,
unknown_device,2025-10-22T20:53:13.738348,43.61,14.12,51.9,-46.2,manual override
device_003,2025-10-22T21:08:13.738348,34.47,88.91,89.76,-92.02,out of range
device_003,2025-10-22T21:23:13.738348,27.57,,22.36,-101.09,sensor glitch
device_006,2025-10-22T21:25:13.738348,29.59,45.75,27.31,-33.49,
device_005,2025-10-22T21:29:13.738348,15.72,70.85,50.45,-70.82,manual override
device_009,2025-10-22T21:30:13.738348,36.13,17.72,95.85,-115.76,CRC error
device_004,2025-10-22T21:34:13.738348,22.47,41.19,75.96,unknown,out of range
,2025-10-22T21:40:13.738348,36.58,86.6,101.88,-60.75,sensor glitch
unknown_device,2025-10-22T21:50:13.738348,35.09,91.06,81.6,-67.57,sensor glitch
device_010,2025-10-22T21:56:13.738348,error,11.16,66.95,-83.99,
device_001,2025-10-22T22:01:13.738348,38.52,N/A,55.02,-115.49,manual override
device_008,2025-10-22T22:02:13.738348,30.02,75.0,47.72,-61.12,sensor glitch
device_004,2025-10-22T22:06:13.738348,14.73,81.92,error,,sensor glitch
device_006,2025-10-22T22:13:13.738348,26.37,54.28,50.97,-66.48,
device_010,2025-10-22T22:25:13.738348,35.78,66.39,21.38,-70.83,manual override
unknown_device,2025-10-22T22:36:13.738348,22.78,91.69,51.6,-63.86,CRC error
device_002,invalid,14.92,35.83,63.92,-53.17,manual override
device_008,2025-10-22T22:49:13.738348,43.74,48.49,44.82,-104.04,sensor glitch
device_003,2025-10-22T23:00:13.738348,unknown,68.93,17.11,-33.99,out of range
device_010,2025-10-22T23:07:13.738348,34.56,3.87,87.59,-126.38,
device_001,2025-10-22T23:16:13.738348,25.43,75.86,64.49,-41.46,
device_003,2025-10-22T23:26:13.738348,24.89,91.22,30.09,-64.52,sensor glitch
device_009,2025-10-22T23:40:13.738348,41.7,79.19,26.32,-94.56,
device_001,2025-10-22T23:44:13.738348,38.32,error,74.44,-96.42,CRC error
,2025-10-22T23:57:13.738348,17.25,23.18,20.25,-83.1,sensor glitch
device_006,2025-10-22T23:59:13.738348,16.44,3.09,30.58,-58.55,sensor glitch
device_009,2025-10-23T00:11:13.738348,N/A,62.95,30.69,-75.71,manual override
device_010,2025-10-23T00:15:13.738348,15.75,93.57,42.81,-67.45,manual override
unknown_device,,45.24,36.56,30.48,-103.4,
device_002,2025-10-23T00:36:13.738348,34.3,8.79,43.1,-63.18,manual override
device_007,2025-10-23T00:47:13.738348,41.64,,91.42,-60.79,sensor glitch
device_010,2025-10-23T00:54:13.738348,41.12,5.0,58.54,-52.08,CRC error
device_005,2025-10-23T00:57:13.738348,error,22.92,1.56,-39.7,CRC error
device_010,2025-10-23T01:06:13.738348,36.15,80.84,53.84,-101.35,sensor glitch
device_010,2025-10-23T01:14:13.738348,29.37,77.14,15.83,-105.43,out of range
,2025-10-23T01:20:13.738348,18.06,18.55,98.18,-109.37,
device_002,2025-10-23T01:26:13.738348,31.28,44.7,80.62,-30.1,manual override
device_009,2025-10-23T01:29:13.738348,13.36,49.4,25.16,-65.49,manual override
device_006,2025-10-23T01:40:13.738348,44.09,16.79,83.78,-34.77,CRC error
device_005,2025-10-23T01:48:13.738348,38.16,3.33,8.21,-101.93,manual override
device_006,2025-10-23T01:54:13.738348,15.55,74.77,75.13,-100.42,out of range
unknown_device,2025-10-23T01:58:13.738348,28.88,30.4,58.54,-54.22,sensor glitch
,2025-10-23T02:06:13.738348,17.78,1.85,45.75,-93.34,manual override
device_005,2025-10-23T02:12:13.738348,40.77,11.77,75.02,-60.4,
device_010,2025-10-23T02:15:13.738348,33.65,68.47,93.71,-118.99,
device_005,2025-10-23T02:27:13.738348,28.56,9.75,72.69,-73.22,sensor glitch
device_007,2025-10-23T02:36:13.738348,46.19,83.49,76.59,-64.1,manual override
unknown_device,2025-10-23T02:45:13.738348,41.19,2.92,69.38,-135.02,CRC error
device_007,2025-10-23T02:53:13.738348,32.05,26.31,15.84,-41.41,CRC error
device_005,2025-10-23T03:05:13.738348,38.39,102.65,14.1,-93.57,CRC error
device_005,2025-10-23T03:06:13.738348,33.06,78.32,38.75,-30.58,manual override
device_001,2025-10-23T03:16:13.738348,32.3,90.19,24.31,-67.33,sensor glitch
device_005,2025-10-23T03:21:13.738348,31.51,45.31,90.65,-43.39,
device_009,2025-10-23T03:29:13.738348,28.11,78.44,40.28,-14.66,out of range
device_009,2025-10-23T03:38:13.738348,26.28,2.14,41.3,-25.01,out of range
device_007,2025-10-23T03:42:13.738348,24.3,11.13,47.83,-80.81,out of range
device_001,2025-10-23T03:56:13.738348,25.06,57.48,63.82,-44.9,manual override
,2025-10-23T03:58:13.738348,30.11,14.43,80.47,-82.32,sensor glitch
,2025-10-23T04:09:13.738348,19.23,26.49,22.16,-107.63,manual override
device_002,2025-10-23T04:22:13.738348,26.11,73.0,51.29,-52.0,sensor glitch
,2025-10-23T04:29:13.738348,30.38,93.61,error,-102.31,
device_005,2025-10-23T04:41:13.738348,24.45,17.18,69.19,-38.92,CRC error
device_009,2025-10-23T04:46:13.738348,33.62,29.02,64.07,-53.17,manual override
,2025-10-23T04:47:13.738348,12.52,97.53,84.26,-34.09,out of range
device_003,invalid,17.52,79.82,102.38,-110.91,sensor glitch
device_002,2025-10-23T05:04:13.738348,16.4,78.4,66.0,-58.52,manual override
device_006,2025-10-23T05:19:13.738348,34.53,87.04,52.03,-97.23,CRC error
device_001,,20.85,75.16,14.35,-31.4,sensor glitch
